GOID,Title,Date,Source Type,Authors,Publication ID,Publication Title,Publisher City,Publisher Province,Publisher Name,Publisher ZipCode,Object Type,Language,Pages,Start Page,Company Name,Company NAIC,Class Terms,Subject Terms
1999884878,Trump Blocks Memo Backed By Democrats,2018-02-10,Newspapers,"['Shear, Michael D', 'Fandos, Nicholas']",11561,New York Times,NEW YORK,NY,New York Times Company,10018,Articles - All Types,English,,A.1,"['Democratic National Committee', 'Facebook Inc', 'New York Times Co', 'Department of Justice', 'Foreign Intelligence Surveillance Court', 'Twitter Inc', 'Senate', 'Democratic Party']","['813940', '518210', '519130', '511110', '511120', '515112', '515120', '922130', '922110', '519130', '921120', '813940']",,"['Law enforcement', 'Political parties', 'National security', 'Social networks', 'Committees', 'Surveillance']"
2000698248,Engulfed in the Artificial Audioscape,2018-02-11,Newspapers,"['Teddy, Wayne']",11561,New York Times,NEW YORK,NY,New York Times Company,10018,Articles - All Types,English,,ST.2,"['Berklee College of Music', '21st Century Fox', 'Twitter Inc', 'New York University', 'Netflix Inc', 'World Health Organization']","['611610', '515120', '519130', '611310', '512120', '518210', '532230', '923120']",,"['Computer & video games', 'Social networks', 'Design', 'Noise', 'Sound']"
2001291071,Aide's Exit Is Renewing Attention on Long Delays for Security Clearances,2018-02-13,Newspapers,"['Shear, Michael D', 'Rosenberg, Matthew']",11561,New York Times,NEW YORK,NY,New York Times Company,10018,Articles - All Types,English,,A.14,"['Congress', 'Twitter Inc', 'Facebook Inc', 'National Security Agency']","['921120', '516210', '516210', '518210', '928110']",,"['Background checks', 'National security', 'Security clearances', 'Intelligence gathering', 'Committees', 'Presidents', 'Employees']"
2001662714,"In Washington and Moscow, the Trolling Starts Right Outside the Embassy Gate",2018-02-13,Newspapers,"['Macfarquhar, Neil']",11561,New York Times,NEW YORK,NY,New York Times Company,10018,Articles - All Types,English,,A.4,"['Getty Images Inc', 'Facebook Inc', 'United Nations--UN', 'Irish Republican Army--IRA', 'National Security Agency', 'Congress-US', 'X Corp (twitter)']","['519290', '516210', '518210', '928120', '813940', '928110', '921120', '516210']",,"['Diplomatic & consular services', 'Social networks', 'Leadership']"
2001671189,"Russia at Work On U.S. Midterms, Spy Chiefs Warn",2018-02-14,Newspapers,"['Rosenberg, Matthew', 'Savage, Charlie', 'Wines, Michael']",11561,New York Times,NEW YORK,NY,New York Times Company,10018,Articles - All Types,English,,A.1,"['Department of Homeland Security', 'Committee on Intelligence, Select-Senate', 'National Security Agency']","['922120', '921120', '928110']",,"['Government agencies', 'Voting machines', 'Internet', 'National security', 'Politics', 'Intelligence gathering', 'Political campaigns', 'False information', 'Influence', 'Congressional elections', 'Congressional committees', 'Midterm elections', 'Social networks', 'Cybersecurity']"
2001672861,Are Reporters Like Spies? Yes and No,2018-02-14,Newspapers,"['Scott, Shane']",11561,New York Times,NEW YORK,NY,New York Times Company,10018,Articles - All Types,English,,A.2,"['Getty Images Inc', 'Twitter Inc', 'Secret Intelligence Service-UK', 'Central Intelligence Agency--CIA', 'Newseum', 'Wikileaks.org', 'National Security Agency']","['519190', '519130', '922120', '928110', '928120', '712110', '519130', '928110']",,"['Government agencies', 'Journalism', 'National security', 'Motion picture directors & producers', 'Books', 'Reporters', 'Espionage']"
2001678025,Youth Coach Is Convicted Of Sex Abuse,2018-02-14,Newspapers,"['Pérez-Peña, Richard']",11561,New York Times,NEW YORK,NY,New York Times Company,10018,Articles - All Types,English,,A.5,['Roman Catholic Church'],['813110'],,"['Children & youth', 'Sex crimes', 'Scandals']"
2002101761,S.U.V. Crashes Into Gate at the Headquarters of the N.S.A.,2018-02-15,Newspapers,"['Cochrane, Emily']",11561,New York Times,NEW YORK,NY,New York Times Company,10018,Articles - All Types,English,,A.15,['National Security Agency'],['928110'],,"['Traffic accidents & safety', 'Accident investigations']"
2002379330,"U.S. Condemns Russia for Computer Attack, Showing Split in Stance Toward Putin",2018-02-16,Newspapers,"['Landler, Mark', 'Scott, Shane']",11561,New York Times,NEW YORK,NY,New York Times Company,10018,Articles - All Types,English,,A.22,"['Senate', 'Committee on Intelligence, Select-Senate', 'National Security Agency']","['921120', '921120', '928110']",,"['Intelligence gathering', 'Researchers', 'Social networks', 'Cybercrime']"
2002740221,"In Trump Administration, a Sharp Divide Over Election Interference",2018-02-18,Newspapers,"['Sanger, David E']",11561,New York Times,NEW YORK,NY,New York Times Company,10018,Articles - All Types,English,,A.21,"['Democratic National Committee', 'Twitter Inc', 'Senate', 'Facebook Inc', 'National Security Agency']","['813940', '516210', '921120', '516210', '518210', '928110']",,"['National security', 'Diplomatic & consular services', 'Sanctions', 'Social networks', 'Cybercrime']"
2002740255,Reader Comments,2018-02-18,Newspapers,,11561,New York Times,NEW YORK,NY,New York Times Company,10018,Articles - All Types,English,,MB.5,,,,['Taxicabs']
2002908755,A Feast for the Senses,2018-02-19,Newspapers,"['Segal, David']",11561,New York Times,NEW YORK,NY,New York Times Company,10018,Articles - All Types,English,,D.1,['International Olympic Committee--IOC'],['813990'],,"['Olympic games', 'Cross country skiing', 'Ethnic foods', 'Cheerleaders', 'Host country', 'Asian culture', 'Hockey']"
2007013433,Limiting Influence of Tech While Reporting on It,2018-02-22,Newspapers,,11561,New York Times,NEW YORK,NY,New York Times Company,10018,Articles - All Types,English,,B.6,"['New York Times Co', 'Columbia University', 'HuffPost', 'Duck Duck Go Inc', 'Twitter Inc', 'Snap Inc', 'YouTube Inc', 'Netflix Inc', 'Facebook Inc', 'Proton Technologies AG']","['511110', '511120', '515112', '515120', '611310', '518210', '519130', '519130', '519130', '511210', '519130', '512120', '518210', '532230', '518210', '519130', '511210']",,"['Journalism', 'Software', 'Social networks', 'Researchers', 'Privacy', 'Surveillance']"
2007780824,Redacted Memo Rebuts Charges On Surveillance,2018-02-25,Newspapers,"['Fandos, Nicholas']",11561,New York Times,NEW YORK,NY,New York Times Company,10018,Articles - All Types,English,,A.1,"['Committee on Intelligence, Permanent Select-House of Representatives']",['921120'],,"['Evidence', 'Collusion', 'Law enforcement', 'Political parties', 'Intelligence gathering', 'Committees', 'Congressional investigations', 'Surveillance', 'Criminal investigations', 'Presidential elections', 'Partisanship', 'Influence', 'Espionage']"
2008285143,Canine Cousins: Inside the Pouch Of a Tasmanian Tiger,2018-02-27,Newspapers,,11561,New York Times,NEW YORK,NY,New York Times Company,10018,Articles - All Types,English,,D.2,"['University of Melbourne', 'Tasmanian Museum & Art Gallery', 'University of London', 'Cardiff University', 'Facebook Inc']","['611310', '712110', '611310', '611310', '518210', '519130']",,"['Art galleries & museums', 'Marsupials', 'Studies']"
2008723347,N.S.A. Chief Says Russia Dodged Election Fallout,2018-02-28,Newspapers,"['Rosenberg, Matthew']",11561,New York Times,NEW YORK,NY,New York Times Company,10018,Articles - All Types,English,,A.4,"['Senate-Armed Services, Committee on', 'Department of Homeland Security', 'Senate', 'National Security Agency', 'Congress-US']","['921120', '922120', '921120', '928110', '921120']",,"['Presidents', 'Presidential elections', 'International relations-US', 'Influence', 'Congressional committees', 'Collusion']"
2009092927,Trump Tears Into Sessions Over Russia Investigation,2018-03-01,Newspapers,"['Baker, Peter', 'Benner, Katie']",11561,New York Times,NEW YORK,NY,New York Times Company,10018,Articles - All Types,English,,A.1,['Congress'],['921120'],,"['Attorneys general', 'Collusion', 'Politics', 'Social networks', 'Political campaigns', 'Criminal investigations', 'Surveillance', 'Presidential elections', 'Influence', 'Congressional committees']"
2009102423,Mr. Trump and the 'Very Bad Judge',2018-03-01,Newspapers,,11561,New York Times,NEW YORK,NY,New York Times Company,10018,Articles - All Types,English,,A.26,"['Foreign Intelligence Surveillance Court', 'Senate', 'Trump Entrepreneur Initiative']","['922110', '921120', '611410']",,"['Editorials', 'Self interest', 'Border security', 'Political campaigns', 'Presidents', 'Environmental law', 'Federal court decisions', 'Litigation', 'Judges & magistrates']"
2009413104,China Detains Relatives Of at Least 4 Reporters,2018-03-02,Newspapers,,11561,New York Times,NEW YORK,NY,New York Times Company,10018,Articles - All Types,English,,A.7,"['New York Times Co', 'Twitter Inc', 'Human Rights Watch', 'Radio Free Asia']","['511110', '511120', '515112', '515120', '519130', '813311', '515111']",,"['Journalists', 'Criminal sentences', 'Families & family life', 'Camps', 'Facial recognition technology']"
2009784022,Israeli Prime Minister Is Questioned by Police in Third Corruption Case,2018-03-03,Newspapers,"['Kershner, Isabel']",11561,New York Times,NEW YORK,NY,New York Times Company,10018,Articles - All Types,English,,A.7,"['World Economic Forum', 'American Israel Public Affairs Committee', 'Twitter Inc', 'Facebook Inc']","['926110', '813940', '519130', '518210', '519130']",,"['Arrests', 'Politics', 'Corruption', 'Bribery', 'Criminal investigations', 'Prime ministers', 'Fraud']"
2010009792,The Danger of Waiting for a Wave,2018-03-04,Newspapers,"['Savage, Charlie']",11561,New York Times,NEW YORK,NY,New York Times Company,10018,Articles - All Types,English,,SR.4,"['Environmental Protection Agency--EPA', 'New York Times Co', 'Central Intelligence Agency--CIA', 'Senate', 'Federal Bureau of Investigation--FBI', 'National Security Agency', 'Congress-US', 'X Corp (twitter)']","['924110', '513110', '516110', '516120', '928110', '928120', '921120', '922120', '928110', '921120', '516210']",,"['Political parties', 'Intelligence gathering', 'Indictments', 'Presidents', 'Demonstrations & protests', 'Information warfare', 'Race relations', 'Election results', 'Voter fraud', 'White supremacy', 'Social networks']"
2010642439,A Russian Threat on Two Fronts Meets a U.S. Strategic Void,2018-03-06,Newspapers,"['Sanger, David E', 'Broad, William J']",11561,New York Times,NEW YORK,NY,New York Times Company,10018,Articles - All Types,English,,A.10,"['Union of Concerned Scientists', 'Cyber Command-US', 'National Security Agency']","['813920', '928110', '928110']",,"['Cold War', 'Nominations', 'Hearings & confirmations', 'Threats', 'Arms control & disarmament', 'National security', 'Political appointments', 'Presidents', 'Defense', 'Nuclear weapons', 'Missile defense']"
2013378697,Trump-Pleasing Hawk Goes From Spy to Diplomat,2018-03-14,Newspapers,"['Scott, Shane']",11561,New York Times,NEW YORK,NY,New York Times Company,10018,Articles - All Types,English,,A.12,"['Al Qaeda', 'Wikileaks.org', 'Taliban', 'Harvard Law School', 'Senate', 'Family Research Council', 'National Security Agency', 'Congress-US', 'X Corp (twitter)']","['813940', '516210', '813940', '611310', '921120', '813110', '928110', '921120', '516210']",,"['Intelligence gathering', 'Presidents', 'Climate change', 'National security', 'Political campaigns', 'Espionage']"
